Name,Department,Specialization,Profile Link
ROSELINE MARY R,COMPUTER SCIENCE,Master of Computer Application,https://christuniversity.in/Computer Science/faculty-details/MjEw/NjI=
Dr  RUCHI SINGH PARIHAR,STATISTICS AND DATA SCIENCE,"Data Analysis,Statistical Modeling,Mathematic Mode",https://christuniversity.in/statistics_and _data_science/faculty-details/ODY3Nw==/OTEy
Dr  RUPALI NAINESH PATEL,PHYSICS AND ELECTRONICS,Solar and Hydrogen energy,https://christuniversity.in/Physics and Electronics/faculty-details/NjMxOQ==/MTg=
Dr  RUPALI SUNIL WAGH,STATISTICS AND DATA SCIENCE,Computer Science,https://christuniversity.in/statistics_and _data_science/faculty-details/MjM3/OTEy
Dr  SABU THOMAS,PHYSICS AND ELECTRONICS,Engineering,https://christuniversity.in/Physics and Electronics/faculty-details/ODY4NQ==/MTg=
Dr  SAGAYA AURELIA P,COMPUTER SCIENCE,Computer Science and Engineering,https://christuniversity.in/Computer Science/faculty-details/MjkyOQ==/NjI=
Dr  SAILAJA KUMAR K,COMPUTER SCIENCE (YESHWANTHPUR),Computer Applications,https://christuniversity.in/Computer Science/faculty-details/ODY2Nw==/ODA0
Dr  SALEEMA J S,STATISTICS AND DATA SCIENCE,Computer Science,https://christuniversity.in/statistics_and _data_science/faculty-details/MTY0/OTEy
SALVE MARGARET JOSEPH,DATA SCIENCE (Lavasa),Computer Science,https://christuniversity.in/Computer Science/faculty-details/ODYyMw==/NjI=
Dr  SANDEEP J,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MTkzMw==/NjI=
Dr  SANDHEEP P N,LIFE SCIENCES,Questioned Documents,https://christuniversity.in/Life Sciences/faculty-details/ODU0Mw==/NjA=
SANDHIYA B,COMPUTER SCIENCE,MEDICAL IMAGE PROCESSING,https://christuniversity.in/Computer Science/faculty-details/ODYwNQ==/NjI=
Dr  SANGEETHA G,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/Njk5OQ==/NjI=
Dr  SANGEETHA SHATHISH,MATHEMATICS,Mathematics,https://christuniversity.in/Mathematics/faculty-details/MTg3NA==/MzI=
Dr  SANKARGANESH ARUNACHALAM,LIFE SCIENCES,Medical Science,https://christuniversity.in/Life Sciences/faculty-details/NjkzNg==/NjA=
Dr  SANKESHWAR N S,PHYSICS AND ELECTRONICS,Solid State Physics,https://christuniversity.in/Physics and Electronics/faculty-details/MjI4OQ==/MTg=
Dr  SARAVANAKUMAR K,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/Njgw/NjI=
Dr  SARAVANAN K N,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MTQ5/NjI=
Dr  SATHYA P,STATISTICS AND DATA SCIENCE,Computer Science,https://christuniversity.in/statistics_and _data_science/faculty-details/NzAzOQ==/OTEy
Dr  SAVITHRI M,DATA SCIENCE (Lavasa),Network Security,https://christuniversity.in/Computer Science/faculty-details/NzEwMA==/NjI=
Dr  SAYANTAN D,LIFE SCIENCES,Botany,https://christuniversity.in/Life Sciences/faculty-details/MjE4Mw==/NjA=
Dr  SENTHIL VADIVU M,STATISTICS AND DATA SCIENCE,Computer Science,https://christuniversity.in/statistics_and _data_science/faculty-details/NzM5Mw==/OTEy
SHARMILA B,COMPUTER SCIENCE,Computer Science and Applications,https://christuniversity.in/Computer Science/faculty-details/ODUwMQ==/NjI=
Dr  SHESHAYYA A CHOUDUM,MATHEMATICS,Graph Theory,https://christuniversity.in/Mathematics/faculty-details/MzMzMw==/MzI=
Dr  SHIKHAR TYAGI,STATISTICS AND DATA SCIENCE (YESHWANTHPUR),Statistics,https://christuniversity.in/statistics_and _data_science/faculty-details/NjM1Nw==/ODEw
Dr  SHIVAPPA B GUDENNAVAR,PHYSICS AND ELECTRONICS,Nuclear Physics,https://christuniversity.in/Physics and Electronics/faculty-details/NDg0/MTg=
Dr  SHONEY SEBASTIAN,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MjY0/NjI=
Dr  SINDHU V,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NjkwMA==/ODA0
Dr  SIVA BALAN R V,COMPUTER SCIENCE (YESHWANTHPUR),Computer Applications,https://christuniversity.in/Computer Science/faculty-details/NTkzNA==/ODA0
Dr  SIVAKUMAR R,STATISTICS AND DATA SCIENCE,Science & Humanities (computer applications),https://christuniversity.in/statistics_and _data_science/faculty-details/MjQ3Nw==/OTEy
Dr  SMERA C,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NzE0Mw==/NjI=
Dr  SMITA SAKLESH NAGOUDA,MATHEMATICS,Mathematics,https://christuniversity.in/Mathematics/faculty-details/MTc5/MzI=
Dr  SMITHA VINOD,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MzA1/NjI=
Dr  SMRITY PRASAD,STATISTICS AND DATA SCIENCE,Image Processing,https://christuniversity.in/statistics_and _data_science/faculty-details/NzMzNw==/OTEy
